,Shrubs (Schlaepfer et al 2012),,,C3 Grasses,,,C4 Grasses,,,Annual grasses,,
Month,Sh Litter,Sh Biomass,Sh Perc Live,C3 Litter,C3 Biomass,C3 Perc Live,C4 Litter,C4 Biomass,C4 Perc Live,Annual Litter,Annual Biomass,Annual Perc Live
January,125,250,0.1,70,120,0.001,70,120,0.001,60,0.001,1
February,125,250,0.1,75,125,0.075,75,120,0.001,55,20,1
March,110,260,0.14,80,135,0.35,80,120,0.1,50,100,1
April,100,300,0.25,85,155,0.55,85,130,0.25,45,180,1
May,165,500,0.55,40,175,0.9,40,135,0.4,30,220,1
June,180,500,0.55,35,210,0.9,35,175,0.85,60,180,1
July,180,475,0.55,45,195,0.85,45,210,0.9,120,100,1
August,250,450,0.47,45,170,0.7,45,200,0.9,180,20,1
September,215,350,0.36,50,135,0.4,50,165,0.65,140,0.001,1
October,165,275,0.19,65,130,0.15,65,150,0.25,100,0.001,1
November,140,250,0.1,65,130,0.075,65,140,0.1,75,0.001,1
December,125,250,0.1,70,120,0.001,70,130,0.001,60,0.001,1
